Gov body,Time of day,Frequency,Livestream,Link to board agenda site,Link to board home page,Notes,County,parseable,agenda-location,agenda-format
Brillion School Board,7 p.m.,3rd Monday,,https://brillionpswi.sites.thrillshare.com/documents/district/board-of-education/2026-board-of-education-meeting-information/23476076,https://www.brillionsd.org/page/board-of-education,,Calumet,,,
Chilton School Board,6 p.m.,3rd Monday,,https://www.chilton.k12.wi.us/district/schoolboard/agenda-minutes/2676-2026-01-19-regular-boe-approved-minutes-january-2026,https://www.chilton.k12.wi.us/district/schoolboard/news,,Calumet,,,
Hilbert School Board,6 p.m.,3rd Monday,,https://www.hilbertk12.org/district/agendas.cfm,https://www.hilbertk12.org/district/board-of-education.cfm,,Calumet,,,
Kaukauna School Board,5:30 p.m.,2nd and 4th Monday,,https://go.boarddocs.com/wi/kasd/Board.nsf/Public,https://www.kaukauna.k12.wi.us/district/board-of-education,,Calumet,,,
Kiel School Board,5:30 p.m.,3rd Wednesday,Yes - on Vimeo,https://drive.google.com/drive/u/0/folders/13TLdOvMr0t6stpiYHOIjA_VXEph8nxRA,https://www.kiel.k12.wi.us/district/school_board.cfm,They don't have any agendas publicly available for 2025-26,Calumet,,,
Kimberly School Board,6:30 p.m.,2nd and 4th Mondays,,https://go.boarddocs.com/wi/kasdwi/Board.nsf/Public,https://www.kimberly.k12.wi.us/departments/boe,,Calumet,,,
Menasha School Board,6:15 p.m.,2nd and 4th Monday,,https://go.boarddocs.com/wi/mjsd/Board.nsf/Public,https://www.mjsd.k12.wi.us/district/board.cfm,,Calumet,,,
New Holstein School Board,7 p.m.,3rd Monday,,https://www.nhsd.k12.wi.us/board/2026.cfm,https://www.nhsd.k12.wi.us/board/,,Calumet,,,
Stockbridge School Board,5 p.m.,3rd Wednesday,,https://www.stockbridge.k12.wi.us/district/agendas-minutes.cfm,https://www.stockbridge.k12.wi.us/district/board-of-education.cfm,,Calumet,,,
Manitowoc County Board,6 p.m.,3rd Tuesday,,https://manitowoccountywi.gov/government/agendas-and-minutes/county-board/,https://manitowoccountywi.gov/departments/county-board-of-supervisors/,,Manitowoc,,,
Manitowoc Common Council,6:30 p.m.,3rd Monday,,https://www.manitowoc.org/Archive.aspx?AMID=37,https://www.manitowoc.org/77/Common-Council,,Manitowoc,,,
Two Rivers Common Council,6 p.m.,1st and 3rd Monday,,https://www.two-rivers.org/meetings,https://www.two-rivers.org/citycouncil,,Manitowoc,,,
Kiel Common Council,6 p.m.,2nd and 4th Tuesdays,,https://www.kielwi.gov/city-council-meetings,https://www.kielwi.gov/officials,,Manitowoc,,,
Cato Town Board,7:30 p.m.,1st Monday,,https://townofcato.com/agendas-minutes/,https://townofcato.com/town-board/,,Manitowoc,y,TownWeb,pdf
Centerville Town Board,6 p.m.,2nd Thursday,,http://www.townofcenterville.us/town-meetings.html,http://www.townofcenterville.us/town-board.html,,Manitowoc,,,
Cooperstwon Town Board,7 p.m.,2nd Tuesday,,https://townofcooperstownwi.gov/agendas-minutes/,https://townofcooperstownwi.gov/town-board/,,Manitowoc,y,TownWeb,pdf
Eaton Town Board,6:30 p.m.,2nd Monday,,https://tn.eaton-manitowoc.wi.gov/agenda-minutes.php,https://tn.eaton-manitowoc.wi.gov/officials.php,,Manitowoc,,,
Franklin Town Board,7 p.m.,2nd Tuesday,,https://townoffranklin-wi.com/agendas-minutes/,https://townoffranklin-wi.com/town-officers/,,Manitowoc,y,TownWeb,pdf
Gibson Town Board,6:30 or 7 p.m.,Varies,,https://townofgibsonwi.gov/agendas-minutes/,https://townofgibsonwi.gov/town-board/,,Manitowoc,,,
Kossuth Town Board,7 p.m.,2nd Monday,,https://townofkossuth.wi.gov/agendas-minutes/,https://townofkossuth.wi.gov/town-board/,,Manitowoc,,,
Liberty Town Board,7 p.m.,2nd Monday,,https://townoflibertywi.com/meetings/,https://townoflibertywi.com/town-contacts/,,Manitowoc,y,TownWeb,pdf
Manitowoc Town Board,7 p.m.,2nd Monday,,https://www.townofmanitowoc.org/meetings/,https://www.townofmanitowoc.org/town-board-members/,,Manitowoc,y,TownWeb,pdf
Manitowoc Rapids Town Board,6:30 p.m.,2nd Wednesday,,https://www.townofmanitowocrapids.org/calendar,https://www.townofmanitowocrapids.org/contact,,Manitowoc,,,
Maple Grove Town Board,7:30 p.m.,2nd Tuesday,,https://maplegrovewi.gov/agendas-minutes/,https://maplegrovewi.gov/town-of-maple-grove-officers/,,Manitowoc,y,TownWeb,pdf
Meeme Town Board,6:30 p.m.,3rd Monday,,https://www.townofmeemewi.com/minutes.php,https://www.townofmeemewi.com/officials.php,,Manitowoc,,,
Mishicot Town Board,7 p.m.,1st Monday,,https://www.townofmishicot.org/government/agendas-and-minutes/,https://www.townofmishicot.org/government/town-board/,,Manitowoc,,,
Newton Town Board,5 p.m.,2nd Wednesday,,https://www.townofnewton.org/agendas-minutes/,https://www.townofnewton.org/town-board-members/,,Manitowoc,,,
